"","census_county_fips","primary16_clinton","primary16_sanders"
"1870",26147,0.413,0.582
"1871",21051,0.484,0.416
"1872",37101,0.521,0.405
"1873",11079,0.779895432,0.21008905
"1874",32001,0.5,0.5
"1875",42047,0.451,0.528
"1876",39013,0.531,0.435
"1877",13087,0.79,0.2
"1878",5015,0,0
"1879",22007,0.714,0.195
"1880",19103,0.402,0.595
"1881",47001,0.547,0.434
"1882",10045,0.600659543,0.390323833
"1883",32033,0.505,0.495
"1884",45043,0.778,0.212
"1885",26007,0.443,0.541
"1886",17007,0.411,0.583
"1887",54029,0.368,0.541
"1888",20069,0.478978495,0.459301075
"1889",34017,0.665,0.335
"1890",28031,0.882,0.107
"1891",31135,0.762,0.238
"1892",56011,0.5,0.5
"1893",30067,0.373,0.607
"1894",40125,0.375,0.555
"1895",31181,0.667,0.333
"1896",17181,0.433,0.542
"1897",25013,0.509750739,0.470266722
"1898",21113,0.442,0.498
"1899",37011,0.414,0.539
"1900",36029,0.504,0.496
"1901",36109,0.377,0.623
"1902",21169,0.417,0.479
"1903",42035,0.485,0.497
"1904",13095,0.857,0.138
"1905",21129,0.429,0.483
"1906",32017,0.603,0.397
"1907",19085,0.453,0.547
"1908",20085,0.478978495,0.459301075
"1909",6021,0.491,0.488
"1910",18133,0.45,0.55
"1911",31065,0.48,0.52
"1912",8033,0.229,0.629
"1913",18149,0.452,0.548
"1914",20027,0.51,0.435
"1915",12113,0.492,0.45
"1916",37097,0.509,0.432
"1917",42065,0.433,0.535
"1918",29077,0.383,0.611
"1919",47085,0.677,0.305
"1920",29155,0.694,0.288
"1921",31105,0.348,0.652
"1922",27093,0.465952381,0.464285714
"1923",39091,0.496,0.489
"1924",13195,0.557,0.429
"1925",18107,0.425,0.575
"1926",51035,0.571,0.424
"1927",13185,0.68,0.313
"1928",4015,0.564,0.385
"1929",17109,0.414,0.578
"1930",47117,0.674,0.309
"1931",26111,0.398,0.587
"1932",1093,0.655,0.296
"1933",51025,0.897,0.101
"1934",16021,0.144,0.84
"1935",48481,0.786,0.182
"1936",4027,0.637,0.315
"1937",27173,0.465952381,0.464285714
"1938",1045,0.77,0.207
"1939",28107,0.858,0.134
"1940",48119,0.679,0.315
"1941",40099,0.327,0.546
"1942",5053,0.663,0.288
